time_s,radius_m,implied_dry_mass_ratio_if_empirical_rho_real,length_cm_for_global_mass_only
0.0,0.02,1.0000000000000002,24.999999999999993
60.0,0.01995766666666667,0.9979468015435825,25.051435568840986
120.0,0.019915333333333333,0.9957817211936658,25.105903701497894
180.0,0.019873000000000002,0.9935453668506918,25.16241415250538
240.0,0.019830666666666667,0.9912527528174362,25.220610917793206
300.0,0.019788333333333335,0.9889125418786883,25.280294203273233
360.0,0.019746,0.9865308312150943,25.341326605279935
420.0,0.019703666666666668,0.9841124353834658,25.403601358068997
480.0,0.019661333333333333,0.9816610163007253,25.467039624543283
540.0,0.019619,0.979179421698816,25.53158230860953
600.0,0.019576666666666666,0.9766698500187209,25.597186192980974
660.0,0.019534333333333334,0.9741345642257989,25.66380551322388
720.0,0.019492,0.9715755168007031,25.73140179810458
780.0,0.019449666666666667,0.9689945660317826,25.799938282811805
840.0,0.019407333333333332,0.9663930125184084,25.869392344684183
900.0,0.019365,0.9637724162260337,25.939733882295243
960.0,0.01932266666666667,0.9611339478085755,26.010942654768378
1020.0,0.019280333333333333,0.9584786201228984,26.08300224453044
1080.0,0.019238,0.9558071726852186,26.155903318621977
1140.0,0.019195666666666666,0.9531202880044161,26.2296378690495
1200.0,0.019153333333333335,0.9504192509111471,26.3041809980522
1260.0,0.019111,0.9477050029105238,26.379516751754807
1320.0,0.019068666666666668,0.9449784119071831,26.45563082181345
1380.0,0.019026333333333333,0.9422393607477523,26.532536255076668
1440.0,0.018984,0.9394892275816948,26.610203998135873
1500.0,0.018941666666666666,0.9367290449846717,26.688614102287275
1560.0,0.018899333333333334,0.9339592124567453,26.767764230558228
1620.0,0.018857,0.9311798939339446,26.847658720790026
1680.0,0.018814666666666667,0.9283918072781928,26.92828588534576
1740.0,0.018772333333333335,0.9255948081393534,27.009658848730396
1800.0,0.01873,0.9227890868376093,27.091781162773387
1860.0,0.018703666666666667,0.9215512170539132,27.128172083502804
1920.0,0.018677333333333334,0.9203041588832469,27.164932113679157
1980.0,0.018651,0.9190485595418514,27.202044702036833
2040.0,0.018624666666666668,0.9177843698538537,27.23951379121978
2100.0,0.018598333333333335,0.9165118576522512,27.277333938745024
2160.0,0.018572,0.9152313265467299,27.315498579280273
2220.0,0.01854566666666667,0.9139425345682148,27.354017407463214
